Name,Cuisine,Cost,Address,Latitude,Longitude
Irwin's ,Italian ,$$$,"212 S 12th St, Philadelphia, PA 19107",39.947951,-75.16085
Isgro's,Bakery,$$,"212 S 12th St, Philadelphia, PA 19107",39.947951,-75.16085
Ishkabibble's II,Cheesesteaks,$,"One N 19th St, Philadelphia, PA 19103",39.953368,-75.171593
J'aime French Bakery,Coffeeshop,$,"1901 Chestnut St, Philadelphia, PA 19103",39.9519756,-75.1720242
J'aime French Café,Coffeeshop,$,"400 South St, Philadelphia, PA 19147",39.9415498,-75.1493127
Jean-Georges Philadelphia,American,$$$$,"2028 Chestnut St, Philadelphia, PA 19103",39.9519485,-75.17472
Jeni's Splendid Ice Creams,Ice Cream,$$,"14 East Snyder Avenue, Philadelphia, PA 19148,",39.9210448,-75.1449949
Jim's South Street,Cheesesteaks,$,"701 Christian St, Philadelphia, PA 19147",39.9382843,-75.1548956
JJ Thai Cuisine,Thai,$$,"110 S 19th St, Philadelphia, PA 19103",39.9514921,-75.1721342
John's Roast Pork,Sandwiches,$$,"4201 Chestnut St, Philadelphia, PA 19104",39.9565219,-75.2065339
John's Water Ice,Water Ice,$,"4 W Palmer St, Philadelphia, PA 19125",39.976414,-75.1345409
K'Far Café ,Breakfast/Brunch,$,"611 S 7th St, Philadelphia, PA 19147",39.9418342,-75.1537907
Kabobeesh,Mediterranean,$,"1001 Spruce St, Philadelphia, PA 19107",39.9463137,-75.1579914
Kalaya,Thai,$$$,"1711 South St, Philadelphia, PA 19146",39.9444186,-75.1707329
Kampar,Asian ,$$,"56 S 2nd St, Philadelphia, PA 19106",39.9486864,-75.1443343
Kanella,Mediterranean,$$,"112 S 12th St, Philadelphia, PA 19107",39.949927,-75.1605506
Kei Sushi Restaurant,Japanese,$,"4301 Chestnut St, Philadelphia, PA 19104",39.9566725,-75.2086565
Khyber Pass Pub,Gastropub,$$,"1700 Sansom St, Philadelphia, PA 19103",39.9506325,-75.1691879
Kichi Omakase,Japanese,$$$,"1001 S 17th St, Philadelphia, PA 19146",39.9394968,-75.1711458
Kilamandjaro/Youma ,West African,$$,"1600 S Christopher Columbus Blvd, Philadelphia, PA 19148",39.9233674,-75.1428339
Kismet Bagels,Bagels,$$,"1036 Spring Garden St, Philadelphia, PA 19123",39.9615253,-75.1551781
L'Anima BYOB,Italian ,$$,"413 E Girard Ave, Philadelphia, PA 19125",39.9705888,-75.1301461
La Catrachita Food Truck ,Bodega/Late Night,$,"1500 S Broad St, Philadelphia, PA 19147",39.9316566,-75.1683598
La Chinesca,Mexican,$$,"130 S 19th St, Philadelphia, PA 19103",39.9507567,-75.172263
La Chingonita,Mexican,$,"1700 Spring Garden St, Philadelphia, PA 19130",39.9618483,-75.1665244
La Cocina Del Cafe,Mexican,$$,"2459 N 54th St, Philadelphia, PA 19131",39.9956621,-75.2340493
La Colombe Coffee Roasters,Coffeeshop,$$,"1301 N Howard St, Philadelphia, PA 19122",39.9706287,-75.1365403
La Marqueza ,Mexican,$,"1839 S 8th St, Philadelphia, PA 19148",39.925579,-75.1589762
Larry's Steaks,Cheesesteaks,$,"1120 Pine St, Philadelphia, PA 19107",39.94494,-75.160758
Laser Wolf,Mediterranean,$$$$,"209 S 20th St, Philadelphia, PA 19103",39.9502371,-75.1739864
Latin Spot,Mexican,$,"821 Dudley St, Philadelphia, PA 19148",39.924991,-75.1601829
Mabu Kitchen,Brunch,$$,"901 N Delaware Ave, Philadelphia, PA 19123",39.9626938,-75.136432
Machi Sushi Bar,Japanese,$,"4249 Walnut St, Philadelphia, PA 19104",39.95487,-75.208014
Machine Shop,Coffeeshop,$,"400 S 2nd St, Philadelphia, PA 19147",39.9430129,-75.1455311
Mainstay Independent Brewing Company,Brewery,$$,"4420 Walnut St, Philadelphia, PA 19104",39.9550873,-75.2115307
Makkah Market,Mediterranean,$,"517 S Leithgow St, Philadelphia, PA 19147",39.9420283,-75.1494961
Malbec Argentine Steakhouse,Steakhouse ,$$$,"764 S 9th St, Philadelphia, PA 19147",39.9399549,-75.1577354
Manakeesh Café Bakery & Grill,Mediterranean,$,"3653 Germantown Ave, Philadelphia, PA 19140",40.0089623,-75.1504435
Marrakesh,Mediterranean,$$,"1022 Race St, Philadelphia, PA 19107",39.9553946,-75.1568023
Mawn,Asian ,$$$,"1454 S Newkirk St, Philadelphia, PA 19146",39.934837,-75.1916702
Max's Steaks,Cheesesteaks,$,"1500 JFK Blvd Two Penn Center, Philadelphia, PA 19102",39.952283,-75.165298
Nan Zhou Hand Drawn Noodle House,Chinese,$$,"15 S 20th St, Philadelphia, PA 19103",39.9526981,-75.1732388
Night Owls Fast Food,Bodega/Late Night,$,"801 N 3rd St, Philadelphia, PA 19123",39.9634575,-75.1426998
Ninja Bao,Asian,$$,"1710 E Passyunk Ave, Philadelphia, PA 19148",39.9284859,-75.1653443
Nook Bakery & Coffee Bar,Coffeeshop,$,"1801 Washington Ave unit d, Philadelphia, PA 19146",39.938744,-75.173311
North Third,American,$$,"240 Market St, Philadelphia, PA 19106",39.9502174,-75.1453309
Ocho Rios Parilla,Caribbean,$,"1121 Walnut St, Philadelphia, PA 19107",39.9490983,-75.1599817
OK Hot Chicken,Sandwiches,$$,"217 W George St, Philadelphia, PA 19123",39.9676543,-75.1406947
Old City Beer Garden,Brewery,$$,"640 N Broad St, Philadelphia, PA 19130",39.9650001,-75.1617691
Oloroso ,Spanish,$$,"943 S 9th St, Philadelphia, PA 19147",39.9386272,-75.1578257
One Shot Coffee,Coffeeshop,$$,"2001 Market St, Philadelphia, PA 19103",39.953671,-75.173318
Osteria,Italian ,$$$,"2600 S 66th St, Philadelphia, PA 19142",39.919998,-75.230139
Paesano's ,Sandwiches,$$$,"227 S 18th St, Philadelphia, PA 19103",39.949089,-75.1707551
Pagano's Market and Bar,Italian ,$$,"412 S 13th St, Philadelphia, PA 19147",39.944812,-75.1632105
Papi Store,Sandwiches,$,"5110-5120 Pentridge St, Philadelphia, PA 19143",39.9427482,-75.2290683
Parc,French,$$$,"944 N 2nd St, Philadelphia, PA 19123",39.9653112,-75.1406285
Paulie Gee's Soul City Slice Shop,Pizza,$$$,"1535 S 11th St, Philadelphia, PA 19147",39.9299262,-75.1629425
Pentridge Station ,Brewery,$,"25 E Allen St, Philadelphia, PA 19123",39.965831,-75.136093
Pera Turkish Cuisine,Mediterranean,$$$,"1122 Washington Ave F, Philadelphia, PA 19147",39.937139,-75.161696
Perla ,Latin,$$$,"4002 Lancaster Ave #4000, Philadelphia, PA 19104",39.963141,-75.2026816
Philadelphia Distilling,Distillery,$$,"4511 Baltimore Ave, Philadelphia, PA 19143",39.9491999,-75.2135235
Pho 75,Vietnamese,$,"1206 Frankford Ave, Philadelphia, PA 19125",39.9692397,-75.1345606
Quality Taste Jamaican Restaurant & Jerk Hut,Caribbean,$,"3925 Walnut St, Philadelphia, PA 19104",39.9540955,-75.2012969
Queen of Sheba,Ethiopian,$,"1826 South St, Philadelphia, PA 19146",39.9444234,-75.1724155
R&D Cocktail Club,Cocktails,$$,"1117 S 11th St, Philadelphia, PA 19147",39.936525,-75.1613226
Raising Canes,Fast Food,$,"1136 Arch St, Philadelphia, PA 19107",39.953775,-75.1587078
Randazzo's,Pizza,$,"310 Master St, Philadelphia, PA 19122",39.9723901,-75.140858
Ratchada Thai,Thai,$$,"625 S 6th St, Philadelphia, PA 19147",39.9414213,-75.1523668
Reading Terminal Market,American,$$,"517 W Girard Ave, Philadelphia, PA 19123",39.970361,-75.145684
Reanimator Coffee,Coffeeshop,$,"3940 Baltimore Ave, Philadelphia, PA 19104",39.9497351,-75.2029847
Redcrest Kitchen,Breakfast/Brunch,$$,"1138 S 13th St, Philadelphia, PA 19147",39.9365085,-75.16505
Reggae Reggae Vibes,Caribbean,$,"4500 Walnut St, Philadelphia, PA 19139",39.9550211,-75.2118953
Renata's Kitchen,Mediterranean,$$,"2101 South St, Philadelphia, PA 19146",39.9451878,-75.177063
Saad's Halal ,Mediterranean,$,"2229 Spruce St, Philadelphia, PA 19103",39.9489389,-75.1788401
Sabrina's Café South Street,Breakfast/Brunch,$$,"750 S 7th St, Philadelphia, PA 19147",39.9398904,-75.1546422
SALLY Philadelphia,Pizza,$$,"N 15th St, Philadelphia, PA 19107",39.9579809,-75.1641518
Saloon,Italian,$$$,"124 S 13th St, Philadelphia, PA 19107",39.9495191,-75.1622021
Salt & Vinegar,Sandwiches,$$$,"3549 Chestnut St, Philadelphia, PA 19104",39.9550016,-75.1939979
Sampan,Asian ,$$,"758 S 9th St, Philadelphia, PA 19147",39.9401255,-75.1578534
Sang Kee Noodle House,Chinese,$$,"48 S 2nd St, Philadelphia, PA 19106",39.9488335,-75.1441085
Sarcone's,Bakery,$,"2201 Christian St, Philadelphia, PA 19146",39.9418395,-75.179463
Sassafras,Gastropub,$$,"435 Spring Garden St, Philadelphia, PA 19123",39.9613557,-75.1461046
Sidecar Bar & Grille ,Gastropub,$$,"1122 Washington Ave B, Philadelphia, PA 19147",39.937139,-75.161696
Silk City,Brunch,$,"2204 Washington Ave, Philadelphia, PA 19146",39.9393632,-75.180037
Sky Café,Asian ,$,"1112 Locust St, Philadelphia, PA 19107",39.9475549,-75.1601396
Small Oven/ Porcos Porchetteria,Bakery,$$,"932 S 10th St, Philadelphia, PA 19147",39.9383413,-75.1598074
Sofi's Corner Cafe,French,$$,"270 S 38th St, Philadelphia, PA 19104",39.944726,-75.1440389
Tabachoy,Filipino,$$,"208 W Washington Square, Philadelphia, PA 19106",39.947338,-75.1534542
Taco Heart,Mexican,$$,"210 W Washington Square, Philadelphia, PA 19106",39.9471555,-75.1534825
Tacos Don Memo,Mexican,$,"1163 S 7th St, Philadelphia, PA 19147",39.9339275,-75.1555478
Talula's Daily,American,$$,"1104 S 9th St, Philadelphia, PA 19147",39.9361048,-75.1586239
Talula's Garden,American,$$$,"530 South St, Philadelphia, PA 19147",39.9418748,-75.1518877
Tamalex,Mexican,$$,"204 N 9th St, Philadelphia, PA 19107",39.9554124,-75.1544962
Taqueria La Prima,Mexican,$,"1523 S 8th St, Philadelphia, PA 19147",39.9297874,-75.15805
Tatooed Mom,Dive Bar,$,"699 N Broad St, Philadelphia, PA 19123",39.9667237,-75.1600903
Terakawan Ramen,Asian ,$$,"1900 S 15th St, Philadelphia, PA 19145",39.9269621,-75.1709622
Termini Bros Bakery,Bakery,$$,"533 N 22nd St, Philadelphia, PA 19130",39.9646934,-75.1741088
The daily.,Coffeeshop,,"1900 Pine St, Philadelphia, PA 19103",39.9464523,-75.173223
Ultimo Coffee,Coffeeshop,$$,"4801 Umbria St, Philadelphia, PA 19127",40.0326041,-75.232367
Umai Umai,Japanese,$$,"1221 Locust St, Philadelphia, PA 19107",39.9479023,-75.1613868
Uni Japanese Cuisine,Japanese ,$$,"Located inside Four Seasons Hotel Philadelphia, 1800 Arch Street 2nd floor lobby, Comcast Technology Center, Philadelphia, PA 19103",39.954816,-75.166365
Union Tap House,Dive Bar,$,"2031 Walnut St, Philadelphia, PA 19103",39.9508062,-75.1748916
Vedge,Vegan,$$$,"1312 Spruce St, Philadelphia, PA 19107",39.946627,-75.1631818
Vernick Coffee Bar,Coffeeshop,$$,"1723 Locust St, Philadelphia, PA 19103",39.9489192,-75.1696178
Vernick Food & Drink,American,$$$$,"222 W Rittenhouse Square 1st Floor, Philadelphia, PA 19103",39.9492003,-75.173373
Vetri Cucina,Italian ,$$$$,"2035 Sansom St, Philadelphia, PA 19103",39.95146,-75.1743488
Via Locusta,Italian ,$$,"1776 Benjamin Franklin Pkwy, Philadelphia, PA 19103",39.9562399,-75.1691479
Vibrant Coffee Roasters & Bakery,Coffeeshop,$$,"4728 Baltimore Ave, Philadelphia, PA 19143",39.9483087,-75.2179128
Vic Sushi Bar,Japanese,$$,"1640 South St, Philadelphia, PA 19146",39.9440517,-75.1694488
Victory Brewing Company,Brewery,$$,"4447 Chestnut St, Philadelphia, PA 19104",39.9568778,-75.2112354
Vientiane Café,Asian ,$$,"9 W Girard Ave, Philadelphia, PA 19123",39.9689701,-75.1348071
Viet Bistro 2 LLC,Vietnamese,$,"3420 Sansom St, Philadelphia, PA 19104",39.9535621,-75.192966
Wah-Gi-Wah,Mediterranean,$$,"2009 Sansom St, Philadelphia, PA 19103",39.9514945,-75.1740876
Weckerly's Ice Cream,Ice Cream,$,"1119 Locust St, Philadelphia, PA 19107",39.9475906,-75.1602238
White Dog Café,American,$$$,"1355 N Front St, Philadelphia, PA 19122",39.9717223,-75.1350516
Wilder,American,$$,"630 South St, Philadelphia, PA 19147",39.9419707,-75.1532259
Winkel,Brunch,$$,"202 S 13th St, Philadelphia, PA 19107",39.9488398,-75.1622899
Wm. Mulherin's Sons,Italian ,$$$,"1342 Cypress St, Philadelphia, PA 19107",39.9463276,-75.1635376
Woodrow's Sandwich Shop,Sandwiches,$$,"1844 Christian St, Philadelphia, PA 19146",39.940881,-75.1741896
Woody's,Club,,"211 N 11th St, Philadelphia, PA 19107",39.955961,-75.1572716
Writer's Block Rehab,Cocktails,$$,"500 Spring Garden St, Philadelphia, PA 19123",39.9606683,-75.1471214
Xing Wang,Chinese ,$,"1026 Race St, Philadelphia, PA 19107",39.9554203,-75.1569989
Yakitori Boy,Japanese,$$,"6350 Germantown Ave, Philadelphia, PA 19144",40.0446258,-75.1817426
Yards Brewing Company,Brewery,$$,"237 St James Pl, Philadelphia, PA 19106",39.9463061,-75.1451873
Yi Pin Restaurant,Chinese,$$,"128 S 19th St, Philadelphia, PA 19103",39.9509175,-75.1723978
Young American Hard Cider & Tasting Room,Cocktails,$,"2111 E York St, Philadelphia, PA 19125",39.9822872,-75.1281523
Zahav,Mediterranean,$$$,"111 S 13th St, Philadelphia, PA 19107",39.950078,-75.161799
Zama,Japanese,$$,,,
Zig Zag BBQ,Barbeque,$$,,,
Zio's Brick Oven Pizza,Pizza,$,,,
